valor,tipo
Ana Sophia Araújo,Nome
Sra. Elisa das Neves,Nome
Vicente Cavalcanti,Nome
Sarah Viana,Nome
Nicolas Pereira,Nome
Antônio Carvalho,Nome
Enzo Santos,Nome
Alice da Paz,Nome
Dra. Pietra Viana,Nome
Clarice Porto,Nome
Emilly Almeida,Nome
Samuel Pereira,Nome
Dr. Davi Lucas da Rosa,Nome
Sr. Bryan Nascimento,Nome
João Gabriel Monteiro,Nome
Emanuella Barbosa,Nome
Sra. Maria Alice Costa,Nome
Ana Júlia Vieira,Nome
Pedro Lucas Moreira,Nome
Caroline Campos,Nome
Rafael Dias,Nome
Bruno Dias,Nome
João Miguel Freitas,Nome
Maysa Moreira,Nome
João Lucas Moraes,Nome
Raul Fogaça,Nome
Dra. Melissa Cardoso,Nome
Maysa da Cunha,Nome
Sabrina Farias,Nome
Lucas Gabriel Nascimento,Nome
Pedro Miguel das Neves,Nome
Giovanna Caldeira,Nome
Arthur Lopes,Nome
Emanuelly Campos,Nome
Miguel Lopes,Nome
Pietro Sales,Nome
Melissa Ramos,Nome
Francisco Cunha,Nome
Vinicius Teixeira,Nome
Vinicius Pereira,Nome
Juliana Moreira,Nome
Daniel Silva,Nome
Ana Laura Barros,Nome
Davi Lucas da Cruz,Nome
Lara Campos,Nome
Isis Rezende,Nome
Eloah Vieira,Nome
Rodrigo Correia,Nome
Maria Alice Fogaça,Nome
Heloísa Correia,Nome
Leandro da Cruz,Nome
Agatha Ferreira,Nome
Sophie da Luz,Nome
Ana Lívia Jesus,Nome
Lívia da Paz,Nome
João Lucas da Cruz,Nome
Stephany Souza,Nome
Noah Martins,Nome
Alexia Correia,Nome
Dr. Erick Caldeira,Nome
Miguel Cardoso,Nome
Thomas Rodrigues,Nome
Vitor Hugo Teixeira,Nome
Cauê Ribeiro,Nome
Bárbara Ferreira,Nome
Maria Pereira,Nome
Marcelo da Paz,Nome
Sra. Juliana Moura,Nome
Manuela Porto,Nome
Felipe das Neves,Nome
Joaquim Aragão,Nome
Maria Clara Dias,Nome
Clarice Almeida,Nome
Thales Caldeira,Nome
Bernardo Azevedo,Nome
Sr. Luiz Gustavo Duarte,Nome
Raul Rodrigues,Nome
Marcelo Costela,Nome
Dra. Maria Julia Ribeiro,Nome
Yuri Ribeiro,Nome
Caroline Castro,Nome
Rafael Pinto,Nome
Dr. Juan Rezende,Nome
Srta. Nicole Castro,Nome
João Mendes,Nome
Felipe da Mota,Nome
Luiz Otávio Porto,Nome
Kevin da Mata,Nome
Lucas Gabriel Farias,Nome
Leonardo Vieira,Nome
Benjamin Viana,Nome
Bryan Duarte,Nome
Juan Rodrigues,Nome
Clara Nunes,Nome
Davi Luiz Nascimento,Nome
João Pedro Ferreira,Nome
Esther Pereira,Nome
Dra. Valentina Rodrigues,Nome
Diogo Gonçalves,Nome
Benício Viana,Nome
Vinicius Lopes,Nome
Benjamin Rocha,Nome
Marcela da Cruz,Nome
Luiz Gustavo Cardoso,Nome
Bernardo Campos,Nome
Eduarda Nunes,Nome
Miguel Farias,Nome
Maria Vitória Barbosa,Nome
Ana Júlia Peixoto,Nome
Maria Luiza Silveira,Nome
Dr. Emanuel Lopes,Nome
Francisco Novaes,Nome
Raul Jesus,Nome
Gabrielly Cardoso,Nome
Lorenzo Castro,Nome
Luiz Otávio da Rosa,Nome
Emanuella Costela,Nome
Sr. Felipe Moura,Nome
Davi Lucca Pires,Nome
Rafaela Jesus,Nome
Milena Souza,Nome
Raul Vieira,Nome
Rafael Cavalcanti,Nome
Francisco Correia,Nome
Vinicius Vieira,Nome
Gabriel Gomes,Nome
Cecília Mendes,Nome
Rodrigo Ferreira,Nome
